ISIN,Symbol,Yahoo ticker,Name,Industry,Sector,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover
NL0010545679,LVIDE,LVIDE.AS,LAVIDE HOLDING,Shell Companies,,Euronext Amsterdam,EUR,0.26,0.27,0.24,0.27,03/08/20 13:03,CET,6319,1626.38
NL0010998878,BOLS,BOLS.AS,LUCASBOLS,Beverages—Wineries & Distilleries,,Euronext Amsterdam,EUR,7.76,7.80,7.68,7.68,03/08/20 17:35,CET,7926,61170.80
IS0000000388,MAREL,MAREL.AS,MAREL,Specialty Industrial Machinery,,Euronext Amsterdam,EUR,4.38,4.38,4.30,4.30,03/08/20 17:35,CET,11982,52051.45
NL0009312842,NEDSE,NEDSE.AS,MKB Nedsense,Software—Application,Technology,Euronext Amsterdam,EUR,0.134,0.134,0.122,0.134,03/08/20 11:13,CET,3491,428.36
CWN814651014,MORE,MORE.AS,MOREFIELD GROUP,Staffing & Employment Services,,Euronext Amsterdam,EUR,0.23,0.23,0.212,0.23,03/08/20 15:06,CET,7960,1752.80
NL0000371243,NEDAP,NEDAP.AS,NEDAP,Electronic Components,Technology,Euronext Amsterdam,EUR,42.00,42.00,40.80,41.00,03/08/20 17:35,CET,1841,75763.30
IM00BDD7WV31,NRP,NRP.AS,NEPI ROCKCASTLE,Real Estate—Diversified,,Euronext Amsterdam,EUR,4.50,4.50,4.22,4.38,03/08/20 17:16,CET,393,1714.34
NL0009822014,NSE,NSE.AS,NEW SOURCES ENERGY,Utilities—Renewable,,Euronext Amsterdam,EUR,0.072,0.072,0.072,0.072,03/08/20 11:30,CET,725,52.20
NL0000440618,NEWAY,NEWAY.AS,NEWAYS ELECTRONICS,Electronic Components,Technology,Euronext Amsterdam,EUR,7.16,7.32,7.06,7.26,03/08/20 17:29,CET,5615,39927.06
NL0012756316,NIBC,NIBC.AS,NIBC HOLDING,Banks—Regional,,Euronext Amsterdam,EUR,7.31,7.32,7.29,7.29,03/08/20 17:35,CET,278598,2034376.29
NL0010773842,NN,NN.AS,NN GROUP, Insurance—Diversified,,Euronext Amsterdam,EUR,31.10,32.21,30.77,32.14,03/08/20 17:37,CET,948663,30127795.45
NL0010696704,NOVI,NOVI.AS,NOVISOURCE,Information Technology Services,,Euronext Amsterdam,EUR,0.975,0.975,0.975,0.975,31/07/20 10:35,CET,14567,14202.83
NL0012365084,NSI,NSI.AS,NSI N.V.,REIT—Office,Financial,Euronext Amsterdam,EUR,30.25,30.85,29.85,30.80,03/08/20 17:35,CET,27813,850954.00
NL0010558797,OCI,OCI.AS,OCI,Specialty Chemicals,,Euronext Amsterdam,EUR,10.10,10.43,10.00,10.43,03/08/20 17:35,CET,243361,2503243.07
NL0000370419,ORANW,ORANW.AS,ORANJEWOUD A,Engineering & Construction,Industrial Goods,Euronext Amsterdam,EUR,6.00,6.00,6.00,6.00,03/08/20 16:48,CET,1703,10218.00
NL0000440584,ORDI,ORDI.AS,ORDINA,Information Technology Services,Technology,Euronext Amsterdam,EUR,2.185,2.28,2.17,2.25,03/08/20 17:38,CET,662300,1481435.33
GG00BPFJTF46,PSH,PSH.AS,PERSHING,Asset Management,Financial Services,Euronext Amsterdam,USD,24.70,24.80,24.25,24.25,03/08/20 17:35,CET,212034,4421531.72
NL0010391025,PHARM,PHARM.AS,PHARMING GROUP,Biotechnology,Healthcare,Euronext Amsterdam,EUR,0.966,1.022,0.956,1.014,03/08/20 17:39,CET,11286064,11213910.43
NL0000009322,INPHI,,PHILIPS BUY BACK,,,Euronext Amsterdam,EUR,-,-,-,-,-,CET,-,-
NL0000009538,PHIA,PHIA.AS,PHILIPS KON,Diagnostics & Research,,Euronext Amsterdam,EUR,43.98,45.135,43.895,44.88,03/08/20 17:37,CET,1728418,77315899.90
NL0000378669,PORF,PORF.AS,PORCELEYNE FLES,Household & Personal Products,,Euronext Amsterdam,EUR,8.00,8.00,8.00,8.00,03/08/20 11:30,CET,500,4000.00
NL0009739416,PNL,PNL.AS,POSTNL,Integrated Freight & Logistics,,Euronext Amsterdam,EUR,2.16,2.31,2.16,2.299,03/08/20 17:35,CET,19731617,44154539.50
BMG7209L1000,PPLAA,,PPLA CLASS A,,,Euronext Amsterdam,EUR,-,-,-,-,-,CET,-,-
BMG7209L1182,PPLAB,,PPLA CLASS B,,,Euronext Amsterdam,EUR,-,-,-,-,-,CET,-,-
US69355L1098,PPLA,,PPLA European Unit,,,Euronext Amsterdam,EUR,-,-,-,-,-,CET,-,-
NL0013654783,PRX,PRX.AS,PROSUS,Internet Content & Information,,Euronext Amsterdam,EUR,82.68,84.38,82.08,84.18,03/08/20 17:35,CET,1113059,93172297.64
NL0000379121,RAND,RAND.AS,RANDSTAD NV,Staffing & Employment Services,,Euronext Amsterdam,EUR,41.00,41.93,40.45,41.78,03/08/20 17:37,CET,346895,14370214.81
LU0383812293,REINA,REINA.AS,REINET INVESTMENTS,Asset Management,,Euronext Amsterdam,EUR,16.03,16.03,16.03,16.03,03/08/20 14:40,CET,10,160.30
GB00B2B0DG97,REN,REN.AS,RELX,Publishing,,Euronext Amsterdam,EUR,18.10,18.61,18.06,18.61,03/08/20 17:35,CET,2061217,37922971.91
GB0007995243,RWI,RWI.AS,RENEWI,Waste Management,,Euronext Amsterdam,EUR,0.278,0.2835,0.271,0.2835,03/08/20 16:54,CET,111482,30795.26
BE0003720340,RET,RET.BR,RETAIL ESTATES,REIT—Retail,,"Euronext Brussels, Amsterdam",EUR,54.90,54.90,52.90,53.30,03/08/20 17:35,CET,8206,437498.60
NL0000440477,ROOD,ROOD.AS,ROODMICROTEC,Semiconductors,,Euronext Amsterdam,EUR,0.162,0.165,0.162,0.165,03/08/20 17:28,CET,40585,6649.84
GB00B03MLX29,RDSA,RDSA.AS,ROYAL DUTCH SHELLA,Oil & Gas Integrated,,Euronext Amsterdam,EUR,12.852,12.908,12.492,12.892,03/08/20 17:39,CET,13453164,171274652.27
GB00B03MM408,RDSB,RDSB.AS,ROYAL DUTCH SHELLB,Oil & Gas Integrated,,Euronext Amsterdam,EUR,12.15,12.224,11.87,12.214,03/08/20 17:35,CET,188950,2274527.63
FR0000125007,SGO,SGO.PA,SAINT GOBAIN,Building Products & Equipment,,"Euronext Paris, Amsterdam, Brussels",EUR,31.10,32.92,31.01,32.66,03/08/20 17:36,CET,2223207,71868125.60
NL0000360618,SBMO,SBMO.AS,SBM OFFSHORE,Oil & Gas Equipment & Services,,Euronext Amsterdam,EUR,13.155,13.59,13.13,13.59,03/08/20 17:35,CET,357687,4816712.19
NL0011660485,SIFG,SIFG.AS,SIF HOLDING,Metal Fabrication,,Euronext Amsterdam,EUR,10.96,10.96,10.56,10.60,03/08/20 17:35,CET,10990,117206.12
NL0011821392,LIGHT,LIGHT.AS,SIGNIFY NV,Electrical Equipment & Parts,,Euronext Amsterdam,EUR,25.49,26.51,25.40,26.38,03/08/20 17:35,CET,548129,14254125.75
NL0000817179,SLIGR,SLIGR.AS,SLIGRO FOOD GROUP,Grocery Stores,,Euronext Amsterdam,EUR,13.28,13.44,13.00,13.38,03/08/20 17:35,CET,51346,679071.64
NL0010627865,SNOW,SNOW.AS,SNOWWORLD,Leisure,,Euronext Amsterdam,EUR,14.20,14.20,14.20,14.20,03/08/20 15:27,CET,151,2144.20
NL0000336303,STRN,STRN.AS,STERN GROEP,Auto & Truck Dealerships,,Euronext Amsterdam,EUR,9.40,9.40,9.22,9.38,03/08/20 16:08,CET,450,4206.20
GG00B1RMC548,TFG,TFG.AS,TETRAGON FIN GRP,Asset Management,,Euronext Amsterdam,USD,9.00,9.08,8.90,9.04,03/08/20 17:35,CET,61329,472454.85
VGG885761061,TBIRD,TBIRD.AS,THUNDERBIRD,Resorts & Casinos,,Euronext Amsterdam,USD,0.04,0.04,0.04,0.04,03/08/20 09:00,CET,1065,36.33
NL0010389508,TIE,TIE.AS,TIE KINETIX,Information Technology Services,,Euronext Amsterdam,EUR,13.20,13.40,12.90,13.00,03/08/20 17:27,CET,1325,17456.00
NL0000852523,TWEKA,TWEKA.AS,TKH GROUP,Communication Equipment,,Euronext Amsterdam,EUR,33.44,34.34,33.10,34.22,03/08/20 17:35,CET,53196,1808033.36
NL0013332471,TOM2,TOM2.AS,TOMTOM,Software—Application,,Euronext Amsterdam,EUR,6.80,7.01,6.765,6.985,03/08/20 17:35,CET,379867,2620911.80
FR0013326246,URW,URW.AS,UNIBAIL-RODAMCO-WE,REIT—Retail,,"Euronext Amsterdam, Paris",EUR,44.00,44.50,41.73,41.73,03/08/20 17:35,CET,2481572,104735443.33
NL0000388619,UNA,UNA.AS,UNILEVER,Household & Personal Products,,Euronext Amsterdam,EUR,50.32,51.66,50.10,51.16,03/08/20 17:38,CET,4049303,206849631.90
NL0000302636,VLK,VLK.AS,V LANSCHOT KEMPEN,Banks—Regional,,Euronext Amsterdam,EUR,14.80,15.14,14.56,15.12,03/08/20 17:35,CET,56268,831083.14
NL0010661864,VALUE,VALUE.AS,VALUE8,Asset Management,,Euronext Amsterdam,EUR,5.00,5.10,5.00,5.02,03/08/20 17:16,CET,4484,22598.82
NL0015118803,PREVA,PREVA.AS,VALUE8 CUM PREF,Asset Management,,Euronext Amsterdam,EUR,6.30,6.30,6.30,6.30,31/07/20 11:30,CET,8,50.40
NL0000288918,VASTN,VASTN.AS,VASTNED,REIT—Retail,,Euronext Amsterdam,EUR,21.50,21.95,21.25,21.90,03/08/20 17:35,CET,45203,976192.25
BMG9349W1038,VEON,VEON.AS,VEON,Telecom Services,,Euronext Amsterdam,EUR,1.518,1.518,1.432,1.436,03/08/20 17:35,CET,51364,74129.92
DE0007921835,VVY,VVY.AS,VIVORYON,Biotechnology,,Euronext Amsterdam,EUR,3.94,4.00,3.85,3.93,03/08/20 17:35,CET,39657,155935.56
GG00B1GHHH78,VTA,VTA.AS,VOLTA FINANCE,Asset Management,,Euronext Amsterdam,EUR,4.37,4.40,4.28,4.28,03/08/20 17:05,CET,5938,25824.99
NL0009432491,VPK,VPK.AS,VOPAK,Oil & Gas Equipment & Services,,Euronext Amsterdam,EUR,46.24,46.69,45.89,46.39,03/08/20 17:35,CET,265940,12339998.43
BE0974349814,WDP,WDP.BR,WDP,REIT—Industrial,,"Euronext Brussels, Amsterdam",EUR,27.10,27.36,26.83,27.36,03/08/20 17:35,CET,197542,5382557.12
NL0000289213,WHA,WHA.AS,WERELDHAVE,REIT—Retail,,Euronext Amsterdam,EUR,7.42,7.42,6.945,6.97,03/08/20 17:38,CET,287175,2027242.80
NL0000395903,WKL,WKL.AS,WOLTERS KLUWER,Publishing,,Euronext Amsterdam,EUR,67.24,68.86,67.14,68.58,03/08/20 17:36,CET,476722,32517606.98
JE00B1FBT077,YATRA,YATRA.AS,YATRA,Real Estate Development,,Euronext Amsterdam,EUR,3.80,3.80,3.80,3.80,24/07/20 09:00,CET,2,7.60
